Date,Site,Country,Ad Exchange impressions,Ad Exchange clicks,Ad Exchange CTR,Ad Exchange revenue ($),Ad Exchange average eCPM ($),Ad Exchange ad requests,Ad Exchange match rate
11/1/24,cloudgaminghub.site,N/A,53,2,3.77%,0.04,0.72,76,81.58%
11/1/24,cloudgaminghub.site,Brazil,710,12,1.69%,1.56,2.20,"1,255",65.74%
11/1/24,cloudgaminghub.site,Canada,"6,980",187,2.68%,121.65,17.43,"12,768",78.08%
11/1/24,cloudgaminghub.site,China,4,0,0.00%,0.01,1.53,5,100.00%
11/1/24,cloudgaminghub.site,Czechia,3,0,0.00%,0.02,8.18,5,100.00%
11/1/24,cloudgaminghub.site,Finland,605,16,2.64%,17.05,28.19,847,84.65%
11/1/24,cloudgaminghub.site,France,"3,099",99,3.19%,37.29,12.03,"6,021",69.27%
11/1/24,cloudgaminghub.site,French Guiana,5,0,0.00%,0.01,2.02,7,100.00%
11/1/24,cloudgaminghub.site,Germany,"4,648",109,2.35%,127.78,27.49,"8,061",90.60%
11/1/24,cloudgaminghub.site,Greece,725,21,2.90%,3.98,5.49,"1,147",73.23%
11/1/24,cloudgaminghub.site,Guinea,2,0,0.00%,0.00,0.91,2,100.00%
11/1/24,cloudgaminghub.site,Iraq,9,1,11.11%,0.01,0.58,12,91.67%
11/1/24,cloudgaminghub.site,Italy,"3,684",88,2.39%,33.47,9.09,"5,186",86.68%
11/1/24,cloudgaminghub.site,Latvia,4,1,25.00%,0.03,7.42,5,100.00%
11/1/24,cloudgaminghub.site,Netherlands,"3,876",131,3.38%,78.34,20.21,"7,871",61.77%
11/1/24,cloudgaminghub.site,Singapore,"1,323",40,3.02%,10.85,8.20,"2,248",73.09%
11/1/24,cloudgaminghub.site,Switzerland,841,20,2.38%,33.40,39.72,"1,219",95.08%
11/1/24,cloudgaminghub.site,United Arab Emirates,19,1,5.26%,0.04,2.18,24,91.67%
11/1/24,cloudgaminghub.site,Ukraine,9,0,0.00%,0.01,0.65,12,83.33%
11/1/24,cloudgaminghub.site,United Kingdom,33,1,3.03%,0.80,24.38,41,92.68%
11/1/24,cloudgaminghub.site,United States,"3,108",72,2.32%,69.83,22.47,"4,347",87.62%
11/1/24,cloudgaminghub.site,Venezuela,15,2,13.33%,0.03,1.77,16,93.75%
11/1/24,funtimeh5.site,N/A,194,13,6.70%,0.17,0.88,234,96.58%
11/1/24,funtimeh5.site,Australia,3,0,0.00%,0.00,1.31,4,100.00%
11/1/24,funtimeh5.site,Brazil,532,17,3.20%,1.04,1.95,990,72.02%
11/1/24,funtimeh5.site,Canada,"1,603",52,3.24%,20.51,12.79,"2,373",85.63%
11/1/24,funtimeh5.site,Chile,670,11,1.64%,1.05,1.56,807,100.00%
11/1/24,funtimeh5.site,Estonia,3,0,0.00%,0.02,6.79,3,100.00%
11/1/24,funtimeh5.site,France,438,14,3.20%,3.90,8.90,533,82.18%
11/1/24,funtimeh5.site,Germany,"7,575",201,2.65%,106.15,14.01,"8,863",86.34%
11/1/24,funtimeh5.site,Greece,700,19,2.71%,2.76,3.94,791,89.51%
11/1/24,funtimeh5.site,India,6,0,0.00%,0.01,1.22,6,100.00%
11/1/24,funtimeh5.site,Iraq,7,1,14.29%,0.00,0.44,8,100.00%
11/1/24,funtimeh5.site,Italy,816,21,2.57%,6.56,8.04,833,98.68%
11/1/24,funtimeh5.site,Morocco,2,0,0.00%,0.00,0.55,4,100.00%
11/1/24,funtimeh5.site,Mozambique,3,0,0.00%,0.00,0.31,4,100.00%
11/1/24,funtimeh5.site,Netherlands,"5,575",167,3.00%,72.89,13.07,"6,937",81.00%
11/1/24,funtimeh5.site,Pakistan,90,2,2.22%,0.04,0.45,112,99.11%
11/1/24,funtimeh5.site,Qatar,3,0,0.00%,0.00,0.21,4,100.00%
11/1/24,funtimeh5.site,Romania,67,2,2.99%,0.52,7.70,67,100.00%
11/1/24,funtimeh5.site,Saint Kitts and Nevis,12,0,0.00%,0.01,0.85,12,100.00%
11/1/24,funtimeh5.site,Saudi Arabia,22,2,9.09%,0.02,0.97,26,100.00%
11/1/24,funtimeh5.site,Seychelles,7,0,0.00%,0.01,0.74,8,100.00%
11/1/24,funtimeh5.site,Singapore,706,18,2.55%,4.27,6.05,909,95.05%
11/1/24,funtimeh5.site,Spain,777,21,2.70%,4.13,5.31,791,100.00%
11/1/24,funtimeh5.site,Switzerland,"3,941",149,3.78%,90.41,22.94,"4,901",81.49%
11/1/24,funtimeh5.site,United Arab Emirates,6,1,16.67%,0.02,3.57,8,100.00%
11/1/24,funtimeh5.site,Turkmenistan,3,0,0.00%,0.00,0.26,4,100.00%
11/1/24,funtimeh5.site,Ukraine,6,0,0.00%,0.06,9.41,6,100.00%
11/1/24,funtimeh5.site,United Kingdom,"1,339",38,2.84%,10.94,8.17,"1,402",96.22%
11/1/24,funtimeh5.site,United States,"9,966",247,2.48%,197.88,19.86,"13,639",88.36%
11/1/24,funtimeh5.site,Yemen,3,0,0.00%,0.00,0.21,4,100.00%
11/1/24,skylandh5games.site,Australia,"5,213",148,2.84%,94.20,18.07,"7,543",77.97%
11/1/24,skylandh5games.site,Austria,"3,755",140,3.73%,84.02,22.37,"5,634",67.15%
11/1/24,skylandh5games.site,Brazil,615,22,3.58%,1.83,2.98,"1,272",55.82%
11/1/24,skylandh5games.site,Canada,"4,264",118,2.77%,70.11,16.44,"5,956",84.86%
11/1/24,skylandh5games.site,France,"2,946",122,4.14%,39.94,13.56,"4,371",67.42%
11/1/24,skylandh5games.site,Germany,"5,528",158,2.86%,111.68,20.20,"7,955",69.91%
11/1/24,skylandh5games.site,Greece,681,26,3.82%,5.06,7.42,"1,018",67.49%
11/1/24,skylandh5games.site,India,2,0,0.00%,0.00,0.85,2,100.00%
11/1/24,skylandh5games.site,Italy,"1,927",52,2.70%,25.73,13.35,"2,358",81.76%
11/1/24,skylandh5games.site,Sint Maarten,4,0,0.00%,0.00,0.91,5,100.00%
11/1/24,skylandh5games.site,Papua New Guinea,4,0,0.00%,0.00,0.51,5,100.00%
11/1/24,skylandh5games.site,Philippines,5,0,0.00%,0.00,0.36,5,100.00%
11/1/24,skylandh5games.site,Singapore,746,27,3.62%,5.98,8.02,"1,157",73.55%
11/1/24,skylandh5games.site,Ukraine,5,1,20.00%,0.03,5.42,5,100.00%
11/1/24,skylandh5games.site,United Kingdom,20,0,0.00%,0.22,11.21,26,76.92%
11/1/24,skylandh5games.site,United States,"4,257",97,2.28%,107.31,25.21,"5,581",89.54%
11/1/24,vanguardh5.site,N/A,52,1,1.92%,0.14,2.61,64,96.88%
11/1/24,vanguardh5.site,Algeria,5,0,0.00%,0.00,0.48,6,100.00%
11/1/24,vanguardh5.site,Brazil,549,14,2.55%,1.75,3.19,"1,068",63.20%
11/1/24,vanguardh5.site,Cameroon,3,0,0.00%,0.00,0.61,4,100.00%
11/1/24,vanguardh5.site,Canada,"5,592",190,3.40%,105.74,18.91,"10,055",81.22%
11/1/24,vanguardh5.site,China,11,0,0.00%,0.04,3.33,14,100.00%
11/1/24,vanguardh5.site,Costa Rica,8,0,0.00%,0.04,5.60,10,100.00%
11/1/24,vanguardh5.site,Finland,"1,352",66,4.88%,51.84,38.34,"1,510",90.00%
11/1/24,vanguardh5.site,France,"3,017",110,3.65%,37.81,12.53,"3,981",76.61%
11/1/24,vanguardh5.site,French Guiana,12,2,16.67%,0.04,3.70,12,100.00%
11/1/24,vanguardh5.site,Germany,"6,631",204,3.08%,138.38,20.87,"8,682",77.15%
11/1/24,vanguardh5.site,Greece,"1,187",43,3.62%,10.69,9.01,"1,608",74.38%
11/1/24,vanguardh5.site,Hong Kong,6,0,0.00%,0.00,0.72,7,100.00%
11/1/24,vanguardh5.site,Indonesia,539,23,4.27%,0.68,1.26,"1,111",56.26%
11/1/24,vanguardh5.site,Italy,6,1,16.67%,0.06,9.90,6,100.00%
11/1/24,vanguardh5.site,Sint Maarten,5,0,0.00%,0.01,2.26,6,100.00%
11/1/24,vanguardh5.site,Pakistan,4,0,0.00%,0.00,0.42,6,100.00%
11/1/24,vanguardh5.site,Poland,9,0,0.00%,0.01,1.11,9,100.00%
11/1/24,vanguardh5.site,Portugal,"1,016",38,3.74%,7.13,7.02,"1,633",62.46%
11/1/24,vanguardh5.site,Romania,3,0,0.00%,0.02,7.61,3,100.00%
11/1/24,vanguardh5.site,"Saint Helena, Ascension and Tristan da Cunha",3,0,0.00%,0.00,0.43,4,100.00%
11/1/24,vanguardh5.site,Saudi Arabia,3,0,0.00%,0.01,3.32,4,100.00%
11/1/24,vanguardh5.site,Sierra Leone,6,0,0.00%,0.00,0.64,8,100.00%
11/1/24,vanguardh5.site,South Africa,5,1,20.00%,0.02,3.13,6,100.00%
11/1/24,vanguardh5.site,Spain,14,1,7.14%,0.10,7.10,14,100.00%
11/1/24,vanguardh5.site,Sweden,10,1,10.00%,0.09,9.39,12,100.00%
11/1/24,vanguardh5.site,Switzerland,"3,514",152,4.33%,135.58,38.58,"3,846",92.56%
11/1/24,vanguardh5.site,United Arab Emirates,49,0,0.00%,0.39,7.95,64,100.00%
11/1/24,vanguardh5.site,Turkiye,3,0,0.00%,0.00,0.71,4,100.00%
11/1/24,vanguardh5.site,Turkmenistan,10,0,0.00%,0.00,0.44,12,100.00%
11/1/24,vanguardh5.site,Ukraine,11,3,27.27%,0.13,11.69,14,100.00%
11/1/24,vanguardh5.site,United Kingdom,"4,358",144,3.30%,61.94,14.21,"5,827",75.25%
11/1/24,vanguardh5.site,United States,"4,086",117,2.86%,118.70,29.05,"6,217",91.19%
11/1/24,vanguardh5.site,Venezuela,8,0,0.00%,0.01,1.07,10,100.00%
11/2/24,cloudgaminghub.site,N/A,107,1,0.93%,0.11,1.01,157,82.80%
11/2/24,cloudgaminghub.site,Argentina,4,0,0.00%,0.01,1.45,5,100.00%
11/2/24,cloudgaminghub.site,Armenia,7,0,0.00%,0.01,1.62,7,100.00%
11/2/24,cloudgaminghub.site,Brazil,835,17,2.04%,1.92,2.30,"1,258",75.99%
11/2/24,cloudgaminghub.site,Canada,"5,857",114,1.95%,96.26,16.44,"9,498",89.35%
11/2/24,cloudgaminghub.site,Finland,500,10,2.00%,14.19,28.39,645,88.99%
11/2/24,cloudgaminghub.site,France,"2,828",74,2.62%,38.85,13.74,"4,519",84.91%
11/2/24,cloudgaminghub.site,Germany,"5,534",133,2.40%,154.91,27.99,"9,836",94.60%
11/2/24,cloudgaminghub.site,Greece,874,27,3.09%,4.13,4.73,"1,184",84.46%
11/2/24,cloudgaminghub.site,Iraq,9,0,0.00%,0.00,0.55,12,100.00%
11/2/24,cloudgaminghub.site,Ireland,4,0,0.00%,0.15,38.33,5,100.00%
11/2/24,cloudgaminghub.site,Italy,"3,991",88,2.20%,38.52,9.65,"5,346",92.65%
11/2/24,cloudgaminghub.site,Jamaica,3,0,0.00%,0.00,1.27,5,80.00%
11/2/24,cloudgaminghub.site,Liechtenstein,4,0,0.00%,0.04,8.83,5,100.00%
11/2/24,cloudgaminghub.site,Malta,4,0,0.00%,0.03,6.46,5,100.00%
11/2/24,cloudgaminghub.site,Netherlands,"5,504",146,2.65%,112.40,20.42,"9,242",73.63%
11/2/24,cloudgaminghub.site,Singapore,"1,526",37,2.42%,12.31,8.06,"2,248",81.85%
11/2/24,cloudgaminghub.site,Switzerland,854,16,1.87%,32.89,38.52,"1,183",94.93%
11/2/24,cloudgaminghub.site,Ukraine,13,0,0.00%,0.02,1.51,17,88.24%
11/2/24,cloudgaminghub.site,United Kingdom,51,2,3.92%,0.54,10.57,75,96.00%
11/2/24,cloudgaminghub.site,United States,"2,836",59,2.08%,62.65,22.09,"3,936",89.15%
11/2/24,funtimeh5.site,N/A,227,14,6.17%,0.28,1.22,272,96.69%
11/2/24,funtimeh5.site,Brazil,678,16,2.36%,1.35,2.00,996,84.84%
11/2/24,funtimeh5.site,Canada,"1,777",48,2.70%,23.45,13.19,"2,357",94.61%
11/2/24,funtimeh5.site,Chile,735,19,2.59%,1.32,1.79,822,100.00%
11/2/24,funtimeh5.site,France,480,13,2.71%,4.75,9.91,555,86.67%
11/2/24,funtimeh5.site,Germany,"7,982",212,2.66%,118.68,14.87,"9,099",88.49%
11/2/24,funtimeh5.site,Greece,740,20,2.70%,3.52,4.76,767,97.26%
11/2/24,funtimeh5.site,India,18,0,0.00%,0.02,0.98,20,100.00%
11/2/24,funtimeh5.site,Ireland,3,0,0.00%,0.02,7.80,3,100.00%
11/2/24,funtimeh5.site,Italy,748,20,2.67%,6.10,8.16,772,97.93%
11/2/24,funtimeh5.site,Jordan,7,1,14.29%,0.01,0.86,8,100.00%
11/2/24,funtimeh5.site,Martinique,5,0,0.00%,0.03,5.11,5,100.00%
11/2/24,funtimeh5.site,Netherlands,"6,435",205,3.19%,92.42,14.36,"7,703",84.11%
11/2/24,funtimeh5.site,Sint Maarten,3,0,0.00%,0.00,1.37,4,100.00%
11/2/24,funtimeh5.site,Norway,5,0,0.00%,0.00,0.90,5,100.00%
11/2/24,funtimeh5.site,Pakistan,105,6,5.71%,0.05,0.50,140,92.14%
11/2/24,funtimeh5.site,Qatar,6,0,0.00%,0.01,1.49,6,100.00%
11/2/24,funtimeh5.site,Romania,57,2,3.51%,0.50,8.82,60,100.00%
11/2/24,funtimeh5.site,Saudi Arabia,33,1,3.03%,0.05,1.47,40,100.00%
11/2/24,funtimeh5.site,Seychelles,10,1,10.00%,0.01,0.93,10,100.00%
11/2/24,funtimeh5.site,Singapore,716,15,2.09%,5.02,7.01,930,94.62%
11/2/24,funtimeh5.site,Spain,807,22,2.73%,5.05,6.26,815,99.75%
11/2/24,funtimeh5.site,Switzerland,"3,470",154,4.44%,89.75,25.87,"4,289",81.67%
11/2/24,funtimeh5.site,United Arab Emirates,51,3,5.88%,0.65,12.84,58,100.00%
11/2/24,funtimeh5.site,Turkiye,9,0,0.00%,0.00,0.44,12,100.00%
11/2/24,funtimeh5.site,United Kingdom,"1,251",45,3.60%,11.73,9.37,"1,367",93.42%
11/2/24,funtimeh5.site,United States,"7,977",169,2.12%,177.52,22.25,"12,503",92.59%
11/2/24,funtimeh5.site,Uzbekistan,3,0,0.00%,0.00,0.32,4,100.00%
11/2/24,skylandh5games.site,N/A,12,0,0.00%,0.07,5.64,14,100.00%
11/2/24,skylandh5games.site,Antigua and Barbuda,4,0,0.00%,0.01,1.91,5,100.00%
11/2/24,skylandh5games.site,Australia,"3,971",123,3.10%,68.04,17.13,"5,802",76.63%
11/2/24,skylandh5games.site,Austria,"6,683",187,2.80%,156.06,23.35,"7,671",87.69%
11/2/24,skylandh5games.site,Brazil,809,20,2.47%,2.30,2.84,"1,274",73.31%
11/2/24,skylandh5games.site,Canada,"3,985",72,1.81%,69.99,17.56,"4,895",95.42%
11/2/24,skylandh5games.site,France,"2,892",98,3.39%,42.93,14.84,"3,161",91.62%
11/2/24,skylandh5games.site,Germany,"8,472",192,2.27%,177.07,20.90,"9,209",92.45%
11/2/24,skylandh5games.site,Greece,789,28,3.55%,5.05,6.40,967,82.11%
11/2/24,skylandh5games.site,Italy,"2,073",50,2.41%,29.53,14.24,"2,265",91.79%
11/2/24,skylandh5games.site,Jamaica,14,0,0.00%,0.02,1.60,14,100.00%
11/2/24,skylandh5games.site,Mexico,7,0,0.00%,0.02,2.50,7,100.00%
11/2/24,skylandh5games.site,Singapore,912,27,2.96%,8.54,9.36,"1,161",90.09%
11/2/24,skylandh5games.site,Spain,"1,378",24,1.74%,15.31,11.11,"1,381",100.00%
11/2/24,skylandh5games.site,Switzerland,6,0,0.00%,0.21,34.35,6,100.00%
11/2/24,skylandh5games.site,United Kingdom,"1,698",27,1.59%,27.29,16.07,"1,715",99.77%
11/2/24,skylandh5games.site,United States,"4,678",113,2.42%,119.59,25.56,"5,929",92.70%
11/2/24,skylandh5games.site,Yemen,4,0,0.00%,0.00,0.41,4,100.00%
11/2/24,vanguardh5.site,N/A,34,2,5.88%,0.09,2.67,47,95.74%
11/2/24,vanguardh5.site,Albania,3,0,0.00%,0.00,1.24,4,100.00%
11/2/24,vanguardh5.site,Bermuda,13,2,15.38%,0.36,27.95,16,100.00%
11/2/24,vanguardh5.site,Brazil,625,20,3.20%,1.83,2.92,"1,093",66.51%
11/2/24,vanguardh5.site,British Virgin Islands,5,0,0.00%,0.05,9.26,6,100.00%
11/2/24,vanguardh5.site,Cameroon,2,0,0.00%,0.00,0.15,4,75.00%
11/2/24,vanguardh5.site,Canada,"7,512",213,2.84%,148.31,19.74,"11,743",90.03%
11/2/24,vanguardh5.site,China,10,0,0.00%,0.06,5.72,13,92.31%
11/2/24,vanguardh5.site,Costa Rica,8,0,0.00%,0.07,8.65,10,100.00%
11/2/24,vanguardh5.site,Dominican Republic,3,0,0.00%,0.01,2.28,4,100.00%
11/2/24,vanguardh5.site,Estonia,9,1,11.11%,0.19,21.38,9,100.00%
11/2/24,vanguardh5.site,Finland,"1,341",64,4.77%,53.23,39.69,"1,461",92.68%
11/2/24,vanguardh5.site,France,"2,609",82,3.14%,35.01,13.42,"2,962",89.06%
11/2/24,vanguardh5.site,French Guiana,14,0,0.00%,0.03,2.17,14,100.00%
11/2/24,vanguardh5.site,Germany,"8,264",233,2.82%,171.71,20.78,"9,662",86.12%
11/2/24,vanguardh5.site,Greece,"1,292",40,3.10%,10.13,7.84,"1,513",85.46%
11/2/24,vanguardh5.site,Hong Kong,3,0,0.00%,0.00,0.85,4,100.00%
11/2/24,vanguardh5.site,Indonesia,562,22,3.91%,0.75,1.33,"1,056",61.65%
11/2/24,vanguardh5.site,Jamaica,3,0,0.00%,0.01,2.26,4,100.00%
11/2/24,vanguardh5.site,Liechtenstein,8,0,0.00%,0.14,17.56,8,100.00%
11/2/24,vanguardh5.site,Nigeria,3,0,0.00%,0.00,1.44,4,100.00%
11/2/24,vanguardh5.site,Portugal,"1,161",38,3.27%,8.18,7.04,"1,586",73.71%
11/2/24,vanguardh5.site,Puerto Rico,8,0,0.00%,0.08,10.53,10,100.00%
11/2/24,vanguardh5.site,Qatar,3,1,33.33%,0.00,0.64,4,100.00%
11/2/24,vanguardh5.site,"Saint Helena, Ascension and Tristan da Cunha",12,1,8.33%,0.02,1.74,14,100.00%
11/2/24,vanguardh5.site,Saint Kitts and Nevis,5,0,0.00%,0.01,1.41,6,100.00%
11/2/24,vanguardh5.site,Sierra Leone,3,0,0.00%,0.00,0.65,4,100.00%
11/2/24,vanguardh5.site,South Africa,5,0,0.00%,0.03,5.07,6,100.00%
11/2/24,vanguardh5.site,Spain,19,1,5.26%,0.32,16.68,19,100.00%
11/2/24,vanguardh5.site,Sweden,8,0,0.00%,0.09,10.89,8,100.00%
11/2/24,vanguardh5.site,Switzerland,"3,708",168,4.53%,150.47,40.58,"3,965",94.15%
11/2/24,vanguardh5.site,United Arab Emirates,30,0,0.00%,0.19,6.26,38,100.00%
11/2/24,vanguardh5.site,Turkmenistan,3,0,0.00%,0.00,0.51,4,100.00%
11/2/24,vanguardh5.site,Ukraine,6,0,0.00%,0.01,2.33,8,100.00%
11/2/24,vanguardh5.site,United Kingdom,"3,913",112,2.86%,56.04,14.32,"4,737",83.05%
11/2/24,vanguardh5.site,United States,"3,970",114,2.87%,119.65,30.14,"6,066",90.22%
11/2/24,vanguardh5.site,U.S. Virgin Islands,3,0,0.00%,0.05,16.97,4,100.00%
11/2/24,vanguardh5.site,Venezuela,5,0,0.00%,0.01,2.01,6,100.00%
11/3/24,cloudgaminghub.site,N/A,60,3,5.00%,0.12,2.05,83,84.34%
11/3/24,cloudgaminghub.site,Brazil,777,18,2.32%,2.09,2.70,"1,256",72.85%
11/3/24,cloudgaminghub.site,Cambodia,3,0,0.00%,0.00,0.41,5,100.00%
11/3/24,cloudgaminghub.site,Canada,"4,950",165,3.33%,79.06,15.97,"9,715",78.02%
11/3/24,cloudgaminghub.site,China,4,0,0.00%,0.01,1.27,5,100.00%
11/3/24,cloudgaminghub.site,Croatia,5,1,20.00%,0.03,5.84,5,100.00%
11/3/24,cloudgaminghub.site,Finland,475,16,3.37%,11.41,24.02,701,78.32%
11/3/24,cloudgaminghub.site,France,"2,314",68,2.94%,29.51,12.75,"3,711",83.13%
11/3/24,cloudgaminghub.site,French Guiana,3,0,0.00%,0.01,1.75,5,100.00%
11/3/24,cloudgaminghub.site,Germany,"7,094",173,2.44%,185.57,26.16,"12,929",92.77%
11/3/24,cloudgaminghub.site,Greece,699,31,4.43%,2.86,4.09,"1,222",64.32%
11/3/24,cloudgaminghub.site,Iraq,15,2,13.33%,0.01,0.44,22,95.45%
11/3/24,cloudgaminghub.site,Italy,"3,524",118,3.35%,30.40,8.63,"5,470",79.76%
11/3/24,cloudgaminghub.site,Jordan,4,0,0.00%,0.00,0.92,5,100.00%
11/3/24,cloudgaminghub.site,Netherlands,"6,064",167,2.75%,121.04,19.96,"10,206",71.50%
11/3/24,cloudgaminghub.site,Singapore,"1,373",44,3.20%,11.45,8.34,"2,378",70.86%
11/3/24,cloudgaminghub.site,South Africa,4,0,0.00%,0.01,1.91,5,100.00%
11/3/24,cloudgaminghub.site,Switzerland,836,22,2.63%,28.46,34.05,"1,220",91.97%
11/3/24,cloudgaminghub.site,United Arab Emirates,16,0,0.00%,0.02,1.45,25,84.00%
11/3/24,cloudgaminghub.site,Turkmenistan,6,0,0.00%,0.00,0.46,7,85.71%
11/3/24,cloudgaminghub.site,United Kingdom,42,2,4.76%,0.66,15.74,49,97.96%
11/3/24,cloudgaminghub.site,United States,"2,428",76,3.13%,57.69,23.76,"3,945",76.25%
11/3/24,funtimeh5.site,N/A,260,18,6.92%,0.25,0.97,320,95.94%
11/3/24,funtimeh5.site,Antigua and Barbuda,6,0,0.00%,0.01,1.96,6,100.00%
11/3/24,funtimeh5.site,Argentina,3,1,33.33%,0.00,1.06,4,100.00%
11/3/24,funtimeh5.site,Botswana,3,0,0.00%,0.00,0.51,4,100.00%
11/3/24,funtimeh5.site,Brazil,702,22,3.13%,1.57,2.24,"1,008",86.21%
11/3/24,funtimeh5.site,Myanmar (Burma),3,0,0.00%,0.00,0.36,4,100.00%
11/3/24,funtimeh5.site,Canada,"1,504",66,4.39%,19.68,13.09,"2,285",83.85%
11/3/24,funtimeh5.site,Chile,700,20,2.86%,1.12,1.60,807,100.00%
11/3/24,funtimeh5.site,China,9,1,11.11%,0.08,8.44,10,100.00%
11/3/24,funtimeh5.site,France,492,17,3.46%,4.29,8.71,575,85.57%
11/3/24,funtimeh5.site,Germany,"6,606",201,3.04%,86.74,13.13,"8,117",82.17%
11/3/24,funtimeh5.site,Greece,620,30,4.84%,2.74,4.41,778,80.46%
11/3/24,funtimeh5.site,Iraq,3,0,0.00%,0.00,0.26,4,100.00%
11/3/24,funtimeh5.site,Italy,719,28,3.89%,5.56,7.73,813,89.30%
11/3/24,funtimeh5.site,Oman,4,1,25.00%,0.01,1.79,4,100.00%
11/3/24,funtimeh5.site,Netherlands,"4,717",175,3.71%,66.34,14.06,"5,848",81.17%
11/3/24,funtimeh5.site,Pakistan,61,6,9.84%,0.02,0.39,81,96.30%
11/3/24,funtimeh5.site,Poland,8,0,0.00%,0.00,0.54,8,100.00%
11/3/24,funtimeh5.site,Qatar,3,0,0.00%,0.00,0.23,8,100.00%
11/3/24,funtimeh5.site,Romania,40,2,5.00%,0.23,5.70,40,100.00%
11/3/24,funtimeh5.site,Saudi Arabia,27,3,11.11%,0.06,2.24,30,100.00%
11/3/24,funtimeh5.site,Singapore,711,21,2.95%,4.56,6.41,958,93.74%
11/3/24,funtimeh5.site,Spain,808,29,3.59%,4.41,5.46,869,92.98%
11/3/24,funtimeh5.site,Switzerland,"4,432",185,4.17%,100.48,22.67,"5,614",79.50%
11/3/24,funtimeh5.site,United Arab Emirates,38,2,5.26%,0.21,5.51,50,100.00%
11/3/24,funtimeh5.site,Turkiye,3,0,0.00%,0.00,0.44,4,100.00%
11/3/24,funtimeh5.site,Ukraine,3,1,33.33%,0.00,0.26,4,100.00%
11/3/24,funtimeh5.site,United Kingdom,"1,223",41,3.35%,11.07,9.05,"1,323",93.42%
11/3/24,funtimeh5.site,United States,"7,727",195,2.52%,180.94,23.42,"14,333",85.03%
11/3/24,funtimeh5.site,U.S. Virgin Islands,3,0,0.00%,0.05,15.50,4,100.00%
11/3/24,skylandh5games.site,N/A,10,1,10.00%,0.00,0.39,15,86.67%
11/3/24,skylandh5games.site,Antigua and Barbuda,4,0,0.00%,0.01,2.95,5,100.00%
11/3/24,skylandh5games.site,Australia,"3,401",120,3.53%,61.00,17.94,"5,489",70.01%
11/3/24,skylandh5games.site,Austria,"5,680",220,3.87%,110.23,19.41,"8,862",64.44%
11/3/24,skylandh5games.site,Bermuda,7,0,0.00%,0.11,15.99,7,100.00%
11/3/24,skylandh5games.site,Brazil,764,23,3.01%,2.17,2.84,"1,276",68.65%
11/3/24,skylandh5games.site,Myanmar (Burma),4,0,0.00%,0.00,0.27,5,100.00%
11/3/24,skylandh5games.site,Cambodia,4,0,0.00%,0.00,0.46,5,100.00%
11/3/24,skylandh5games.site,Canada,"3,144",102,3.24%,51.34,16.33,"4,943",77.67%
